Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength,Water/Cement Ratio
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100,56.06129356,0.414912369
266,114,0,228,0,932,670,270,51.73276323,0.6
451,0,0,165,11.25,1030,745,28,78.80021204,0.365853659
108.3,162.4,0,203.5,0,938.2,849,90,29.23171397,0.75175471
427.5,47.5,0,228,0,932,594,90,41.54299743,0.48
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366,0.487400493
284,15,141,179,5.46,842,801,56,44.52045028,0.406818182
295,0,0,185,0,1069,769,28,25.17966352,0.627118644
135,105,193,196,6,965,643,28,21.91154728,0.452655889
382,0,0,185,0,1047,739,28,37.42475728,0.484293194
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056,0.288913985
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.69660064,0.486002522
307,0,0,193,0,968,812,90,32.922479,0.628664495
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.2311844,0.325656663
159,187,0,176,11,990,789,28,32.76389952,0.50867052
273,0,90,199,11,931,762,28,32.23989776,0.548209366
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.19944856,0.325097797
275,180,120,162,10.35,830,765,28,76.23536132,0.28173913
281,0,0,186,0,1104,774,28,22.43554904,0.661921708
162,214,164,202,10,820,680,28,30.6472082,0.374074074
222.36,0,96.67,189.29,4.46,967.08,870.32,100,40.7135578,0.593329781
237.5,237.5,0,228,0,932,594,28,30.07976945,0.48
108.3,162.4,0,203.5,0,938.2,849,28,20.59395864,0.75175471
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.0201848,0.411325188
305.3,203.5,0,203.5,0,965.4,631,28,43.37700359,0.399960692
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384,0.472133592
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688,0.403530954
132,207,161,179,5,867,736,28,33.3016908,0.358
136,196,98,199,6,847,783,28,26.96540636,0.462790698
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.83544512,0.602606657
310,0,0,192,0,1012,830,28,27.82725136,0.619354839
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96418731,0.488009592
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856,0.400659502
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922,0.571555293
190.34,0,125.18,166.61,9.88,1079,798.9,28,24.84871504,0.528048935
160,250,0,168,12,1049,688,28,39.45181672,0.409756098
266,114,0,228,0,932,670,180,48.69562145,0.6
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196,0.402283025
298.2,0,107,209.7,11.1,879.6,744.2,28,31.87516496,0.517522211
313,0,113,178,8,1002,689,28,36.80422888,0.417840376
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54230795,0.423160173
500,0,0,151,9,1033,655,28,69.83702404,0.302
143,169,143,191,8,967,643,28,29.72331036,0.41978022
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404,0.512962728
397,0,0,185,0,1040,734,28,39.0932892,0.465994962
200,0,0,180,0,1125,845,28,12.24509376,0.9
250.2,166.8,0,203.5,0,977.6,694.1,90,47.7144971,0.488009592
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.76803638,0.507807981
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.44637089,0.375158428
439,177,0,186,11.1,884.9,707.9,91,73.29819356,0.301948052
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91369566,0.467758186
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.52831864,0.354846842
485,0,0,146,0,1120,800,28,71.98818916,0.301030928
339,0,0,197,0,968,781,28,32.03994972,0.581120944
213.5,0,174.24,159.21,11.66,1043.6,771.9,100,52.95865156,0.410610203
397,17.2,158,167,20.8,967,633,28,55.64760796,0.291855994
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.20022796,0.289994347
310,142.8,0,167.9,10,914.3,804,28,45.30477848,0.370803887
350,0,0,203,0,974,775,180,32.72253096,0.58
280,129,100,172,9,825,805,28,52.82075636,0.337917485
276,116,90,180,9,870,768,28,44.27814872,0.373443983
331,170,0,195,8,811,802,28,56.61287436,0.389221557
349,0,0,192,0,1056,809,90,40.65839972,0.550143266
436,0,0,218,0,838.4,719.7,28,23.84897484,0.5
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.6430514,0.398450371
156,243,0,180,11,1022,698,28,37.36270444,0.45112782
491,26,123,201,3.93,822,699,56,61.85584685,0.3140625
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796,0.398448501
389.9,189,0,145.9,22,944.7,755.8,91,82.5992248,0.252029712
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12320644,0.484668645
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622,0.296878147
275,0,0,183,0,1088,808,28,24.49708228,0.665454545
153,145,113,178,8,867,824,28,26.22766704,0.433090024
157,214,152,200,9,819,704,28,33.05347944,0.382409178
166,259.7,0,183.2,12.7,858.8,826.8,28,37.91704314,0.430350012
194.68,0,100.52,170.17,7.48,998,901.8,100,44.27814872,0.57645664
238,0,0,186,0,1119,789,28,17.54026944,0.781512605
380,0,0,228,0,932,670,180,53.104131,0.6
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.3314882,0.40230059
337.9,189,0,174.9,9.5,944.7,755.8,91,67.79617508,0.331941545
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96384756,0.456031128
376,0,0,214.6,0,1003.5,762.36,100,43.0577762,0.570744681
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.39959639,0.456214689
446,24,79,162,11.64,967,712,56,56.14403068,0.295081967
183.9,122.6,0,203.5,0,959.2,800,90,32.53292506,0.663947798
237,92,71,247,6,853,695,28,28.62704352,0.6175
144,136,106,178,7,941,774,28,26.14492992,0.461139896
287,121,94,188,9,904,696,28,41.94082508,0.374501992
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.62998127,0.547464623
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68108245,0.413459268
139.6,209.4,0,192,0,1047,806.9,360,44.6980396,0.550143266
505,0,60,195,0,1030,630,28,64.0178466,0.345132743
213.5,0,174.24,154.61,11.66,1052.3,775.48,100,59.30183076,0.398746583
144,0,175,158,18,943,844,28,15.41668336,0.495297806
425,106.3,0,151.4,18.6,936,803.7,91,66.69990824,0.284961415
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.89607912,0.289994347
249.1,0,98.75,158.11,12.8,987.76,889.01,56,42.03045696,0.454535001
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,56.63355864,0.398448501
262,111,86,195,5,895,733,28,33.7153764,0.424836601
151,0,184,167,12,991,772,28,15.56836808,0.498507463
295.71,0,95.64,171.54,8.87,955.14,859.2,28,39.94134468,0.438328862
212.07,0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962,0.540351824
314,145,113,179,8,869,690,28,46.2293658,0.312937063
288,192,0,192,0,932,717.8,90,50.52686971,0.4
380,0,0,228,0,932,670,270,53.30063166,0.6
355,19,97,145,12.25,967,871,28,55.45455468,0.307855626
162,207,172,216,10,822,638,28,39.84481804,0.399260628
295.8,0,0,185.7,0,1091.4,769.3,28,25.21689522,0.627789047
202,11,141,206,1.72,942,801,28,21.96670536,0.581920904
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014,0.408401144
307,0,0,193,0,968,812,365,36.14922668,0.628664495
425,106.3,0,151.4,18.6,936,803.7,28,61.79773388,0.284961415
165,0,150,182,12,1023,729,28,18.0297974,0.577777778
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46132942,0.496130952
475,0,59,142,1.9,1098,641,28,57.226508,0.265917603
374,189.2,0,170.1,10.1,926.1,756.7,56,63.3973182,0.302024148
277,0,0,191,0,968,856,360,33.70158688,0.689530686
540,0,0,173,0,1125,613,270,74.16693332,0.32037037
325,0,0,184,0,1063,783,28,30.57136584,0.566153846
133,200,0,192,0,927.4,839.2,28,27.8748252,0.576576577
146,230,0,202,3,827,872,28,33.0603742,0.537234043
333,17.5,163,167,17.9,996,652,28,47.27736932,0.325219085
116,173,0,192,0,909.8,891.9,28,22.34798559,0.664359862
184,86,190,213,6,923,623,28,22.93197176,0.463043478
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.2309246,0.540346078
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902,0.547464623
316.1,210.7,0,185.7,0,977,689.3,28,38.70028788,0.352505695
427.5,47.5,0,228,0,932,594,365,43.6982994,0.48
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.50398701,0.536698366
192,288,0,192,0,929.8,716.1,90,50.73233356,0.4
289,0,0,192,0,913.2,895.3,90,32.06821824,0.664359862
300,0,120,212,10,878,728,28,23.83518532,0.504761905
145,0,134,181,11,979,812,28,13.19657064,0.64874552
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.20386516,0.414912369
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352,0.535766335
330.5,169.6,0,194.9,8.1,811,802.3,28,56.61907964,0.389722056
382,0,0,186,0,1047,739,28,37.42475728,0.486910995
298,137,107,201,6,878,655,28,53.52402188,0.370848708
312.7,0,0,178.1,8,999.7,822.2,28,25.10382116,0.569555484
525,0,0,189,0,1125,613,90,58.78472376,0.36
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.68779736,0.437437214
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475,0.421509525
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316,0.298948513
500.1,0,0,200,3,1124.4,613.2,28,44.13335876,0.399920016
250,0,95.69,187.42,5.53,956.86,861.17,28,29.21999288,0.542162053
290.35,0,96.18,168.08,9.41,961.18,865,100,48.97348028,0.43484335
531.3,0,0,141.8,28.2,852.1,893.7,28,56.3991368,0.266892528
439,177,0,186,11.1,884.9,707.9,28,65.99664272,0.301948052
153,145,113,178,8,1002,689,28,25.55887532,0.433090024
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.56974703,0.497610514
540,0,0,162,2.5,1055,676,28,61.88736576,0.3
289,0,0,192,0,913.2,895.3,28,25.57335432,0.664359862
142,167,130,174,11,883,785,28,44.6090972,0.396355353
212,141.3,0,203.5,0,973.4,750,28,33.00383717,0.575997736
531.3,0,0,141.8,28.2,852.1,893.7,56,58.79851328,0.266892528
520,0,0,170,5.2,855,855,28,60.28088668,0.326923077
313,161,0,178,10,917,759,28,52.44154456,0.375527426
153,102,0,192,0,888,943.1,90,26.32281473,0.752941176
190,190,0,228,0,932,670,270,50.65511224,0.6
525,0,0,189,0,1125,613,270,67.11359384,0.36
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19814956,0.270051195
164,0,200,181,13,849,846,28,15.08573488,0.497252747
332.5,142.5,0,228,0,932,594,90,37.72192144,0.48
266,114,0,228,0,932,670,365,52.90831981,0.6
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46103971,0.398452158
389.9,189,0,145.9,22,944.7,755.8,56,79.40005616,0.252029712
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984,0.472118297
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.9379972,0.570055345
296,0,0,192,0,1085,765,90,29.39236188,0.648648649
160,128,122,182,6.4,824,879,28,39.39665864,0.443902439
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09125069,0.497392259
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778,0.57645664
349,0,0,192,0,1047,806,180,41.05140104,0.550143266
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99108685,0.401824591
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34253976,0.5129714
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17103011,0.456167065
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,24.53845084,0.561263799
213.76,98.06,24.52,181.74,6.65,1066,785.52,100,49.97322048,0.540346078
310,0,0,192,0,970,850,360,38.11423328,0.619354839
167,187,195,185,7,898,636,28,23.8903434,0.336976321
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952,0.412003663
154,144,112,220,10,923,658,28,16.49916068,0.536585366
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36339392,0.451766475
387,20,94,157,11.61,938,845,28,46.68441996,0.313373253
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,37.6798634,0.437437214
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.93549909,0.408401144
202,11,141,206,1.72,942,801,56,23.24519085,0.581920904
255,0,0,192,0,889.8,945,28,18.74616296,0.752941176
525,0,0,189,0,1125,613,28,55.94408264,0.36
250,0,95.69,187.42,5.53,956.86,861.17,56,38.32797084,0.542162053
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.82696164,0.33863681
159,149,116,175,15,953,720,28,27.67556664,0.412735849
380,95,0,228,0,932,594,270,41.15137506,0.48
302,0,0,203,0,974,817,180,26.74477404,0.67218543
339,0,0,185,0,1060,754,28,31.6469484,0.545722714
446,24,79,162,10.3,967,712,56,54.76507868,0.295081967
305,0,100,196,10,959,705,28,30.12320644,0.483950617
387,20,94,157,13.93,938,845,28,46.68441996,0.313373253
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.59882504,0.325097797
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.14221208,0.402283025
480,0,0,192,0,936,721,90,54.27555072,0.4
540,0,0,162,2.5,1040,676,28,79.98611076,0.3
140,164,128,237,6,869,656,28,35.22532884,0.548611111
310,0,0,192,0,1012,830,90,35.76312012,0.619354839
380,95,0,228,0,932,594,90,40.56325203,0.48
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136,0.421509525
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.62980142,0.617095726
516,0,0,162,8.26,801,802,28,41.36856,0.313953488
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.738159024,0.64952957
339,0,0,197,0,968,781,180,36.44570136,0.581120944
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992,0.411325188
528,0,0,185,6.86,920,720,28,56.83350668,0.350378788
350,0,0,203,0,974,775,90,31.35047372,0.58
500,0,0,140,4,966,853,28,67.568648,0.28
322.2,0,115.6,196,10.4,817.9,813.4,28,31.1787942,0.447693011
153.1,145,113,178.5,8,867.2,824,28,26.23318285,0.434200924
266,114,0,228,0,932,670,90,47.02984744,0.6
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.24541357,0.548591938
250,0,95.69,191.84,5.33,948.9,857.2,28,27.22051248,0.554948075
305.3,203.5,0,203.5,0,965.4,631,90,54.59891496,0.399960692
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.0556978,0.454535001
133,210,0,196,3,949,795,28,31.02642,0.571428571
145,116,119,184,5.7,833,880,28,29.15794004,0.484210526
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314,0.325656663
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.72641799,0.569981584
238.1,0,0,185.7,0,1118.8,789.3,28,17.57612219,0.779924402
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024,0.535766335
313,145,0,178,8,1002,689,28,41.05140104,0.388646288
145.4,0,178.9,201.7,7.8,824,868.7,28,10.53588276,0.62195498
148,175,0,171,2,1000,828,28,26.91714304,0.529411765
331,0,0,192,0,978,825,90,37.231704,0.580060423
331,0,0,192,0,978,825,180,38.99676256,0.580060423
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364,0.509188533
375,93.8,0,126.6,23.4,852.1,992.6,28,56.69561148,0.270051195
326,166,0,174,9,882,790,28,61.23236356,0.353658537
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5009994,0.270051195
393,0,0,192,0,940.6,785.6,28,39.60488039,0.488549618
250,0,95.69,191.84,5.33,948.9,857.2,100,41.1617172,0.554948075
385,0,0,186,0,966,763,28,31.35047372,0.483116883
225,0,0,181,0,1113,833,28,17.3403214,0.804444444
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.13257936,0.540346078
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,46.38794528,0.411325188
359,19,141,154,10.91,942,801,28,59.49488404,0.29672447
313.3,145,0,178.5,8,867.2,824,28,40.92522693,0.389482871
298,0,107,164,13,953,784,28,35.85964676,0.404938272
381.4,0,0,185.7,0,1104.6,784.3,28,22.48932817,0.486890404
356,119,0,160,9.03,1061,657,28,58.99846132,0.336842105
190,190,0,228,0,932,670,90,42.32693164,0.6
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904,0.400659502
213.5,0,174.24,159.21,11.66,1043.6,771.9,56,51.25564584,0.410610203
339,0,0,197,0,968,781,90,35.17017076,0.581120944
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.49592324,0.293054771
290.35,0,96.18,168.08,9.41,961.18,865,56,45.08483564,0.43484335
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176,0.398448501
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576,0.412003663
277,0,0,191,0,968,856,180,32.32952964,0.689530686
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476,0.298948513
236,0,0,193,0,968,885,180,24.10408096,0.81779661
446,24,79,162,11.61,967,712,56,61.06688932,0.295081967
234,156,0,189,5.85,981,760,28,39.300132,0.484615385
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07313449,0.404907975
304,140,0,214,6,895,722,28,33.41890172,0.481981982
397,0,0,186,0,1040,734,28,36.93522932,0.468513854
285,190,0,163,7.6,1031,685,28,53.57917996,0.343157895
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72046253,0.537991498
155,0,143,193,9,1047,697,28,12.45883132,0.647651007
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312,0.509820366
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.20208645,0.649425287
332.5,142.5,0,228,0,932,594,28,33.01900564,0.48
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976,0.561243827
236,157,0,192,0,972.6,749.1,90,47.78206575,0.488549618
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18097249,0.699810247
322,149,0,186,8,951,709,28,52.42086028,0.394904459
148,0,182,181,15,839,884,28,15.52010476,0.548484848
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448,0.492288536
190,190,0,228,0,932,670,365,53.69225402,0.6
389.9,189,0,145.9,22,944.7,755.8,28,74.4978818,0.252029712
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899,0.388542714
284,120,0,168,7,970,794,28,40.93419012,0.415841584
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69808964,0.296878147
157,236,0,192,0,935.4,781.2,28,33.66435518,0.488549618
266,114,0,228,0,932,670,28,45.85429086,0.6
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.8900836,0.593329781
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44363293,0.532996275
500,0,0,200,0,1125,613,180,51.04190828,0.4
246.83,0,125.08,143.3,11.99,1086.8,800.89,28,52.5035974,0.385308274
321,164,0,190,5,870,774,28,57.21271848,0.391752577
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436,0.298948513
382.5,0,0,185.7,0,1047.8,739.3,28,37.43785732,0.485490196
158,0,195,220,11,898,713,28,8.53571288,0.623229462
314,0,113,170,10,925,783,28,38.45897128,0.398126464
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372,0.561263799
102,153,0,192,0,887,942,28,17.27551066,0.752941176
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.60064364,0.416595454
200,133,0,192,0,965.4,806.2,28,30.43967592,0.576576577
331,0,0,192,0,978,825,360,41.24445432,0.580060423
380,95,0,228,0,932,594,28,36.44776979,0.48
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.284354,0.372073752
298.1,0,107,186.4,6.1,879,815.2,28,42.6440906,0.4601333
339,0,0,185,0,1069,754,28,31.84000168,0.545722714
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436,0.298948513
325.6,166.4,0,174,8.9,881.6,790,28,61.23581094,0.353658537
304,76,0,228,0,932,670,180,50.94882902,0.6
252,0,0,185,0,1111,784,28,19.69143456,0.734126984
307,0,0,193,0,968,812,180,34.48758952,0.628664495
339,0,0,197,0,968,781,365,38.89334116,0.581120944
516,0,0,162,8.2,801,802,28,41.36856,0.313953488
277,117,91,191,7,946,666,28,43.5748832,0.393814433
153,145,0,178,8,1000,822,28,19.00885332,0.597315436
162,190,148,179,19,838,741,28,33.75674496,0.358
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90037588,0.304952215
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.59680647,0.59845311
491,26,123,210,3.93,882,699,56,59.59042572,0.328125
145,0,179,202,8,824,869,28,10.53519328,0.62345679
212,0,124.78,159,7.84,1085.4,799.54,100,47.8151606,0.472118297
133,200,0,192,0,927.4,839.2,90,36.58842289,0.576576577
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.59648684,0.304952215
424,22,132,178,8.48,822,750,28,62.05284,0.307958478
475,0,0,228,0,932,594,90,42.22902605,0.48
359,19,141,154,10.91,942,801,28,62.93536928,0.29672447
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368,0.540353277
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.9496784,0.416595454
326.5,0,137.9,199,10.8,801.1,792.5,28,38.6306508,0.428509905
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084,0.487400493
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.99078716,0.354846842
393,0,0,192,0,940.6,785.6,90,48.8466167,0.488549618
525,0,0,189,0,1125,613,180,61.92183956,0.36
359,19,141,154,10.91,942,801,56,68.75060685,0.29672447
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836,0.302024148
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476,0.298948513
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.58737372,0.421968436
332.5,142.5,0,228,0,932,594,270,40.26953526,0.48
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226,0.561958092
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.40123514,0.45622015
522,0,0,146,0,896,896,28,74.98740976,0.279693487
332.5,142.5,0,228,0,932,594,180,39.77931782,0.48
290.35,0,96.18,168.08,9.41,961.18,865,28,34.73580088,0.43484335
397,0,0,185.7,0,1040.6,734.3,28,33.08243743,0.467758186
304,76,0,228,0,932,670,365,55.26012245,0.6
289,133.7,0,194.9,5.5,924.1,760.1,28,46.24729218,0.461083511
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328,0.486782055
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.30651713,0.358229876
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224,0.561243827
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.95947085,0.555321391
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52360218,0.278312199
295.71,0,95.64,171.54,8.87,955.14,859.2,100,52.04164848,0.438328862
446,24,79,162,10.3,967,712,28,53.38612668,0.295081967
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748,0.421509525
203.5,305.3,0,203.5,0,963.4,630,28,41.68434001,0.399960692
322,0,0,203,0,974,800,180,29.58541516,0.630434783
192,288,0,192,0,929.8,716.1,28,39.32150576,0.4
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868,0.492288536
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.84715624,0.454535001
149,118,92,183,7,953,780,28,23.51802636,0.509749304
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.22532884,0.548805936
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564,0.472118297
